threshold,window_s,budget_weight,fpr,fnr,f1
14,20,0.2,0.0,1.0,0
14,20,0.5,0.0,1.0,0
14,20,0.8,0.0,1.0,0
14,30,0.0,0.0,1.0,0
14,30,0.2,0.0,1.0,0
14,30,0.5,0.0,1.0,0
14,30,0.8,0.0,1.0,0
14,60,0.0,0.0,1.0,0
14,60,0.2,0.0,1.0,0
14,60,0.5,0.0,1.0,0
14,60,0.8,0.0,1.0,0
14,120,0.0,0.0,1.0,0
14,120,0.2,0.0,1.0,0
14,120,0.5,0.0,1.0,0
14,120,0.8,0.0,1.0,0
15,10,0.0,0.0,1.0,0
15,10,0.2,0.0,1.0,0
15,10,0.5,0.0,1.0,0
15,10,0.8,0.0,1.0,0
15,20,0.0,0.0,1.0,0
15,20,0.2,0.0,1.0,0
15,20,0.5,0.0,1.0,0
15,20,0.8,0.0,1.0,0
15,30,0.0,0.0,1.0,0
15,30,0.2,0.0,1.0,0
15,30,0.5,0.0,1.0,0
15,30,0.8,0.0,1.0,0
15,60,0.0,0.0,1.0,0
15,60,0.2,0.0,1.0,0
15,60,0.5,0.0,1.0,0
15,60,0.8,0.0,1.0,0
15,120,0.0,0.0,1.0,0
15,120,0.2,0.0,1.0,0
15,120,0.5,0.0,1.0,0
15,120,0.8,0.0,1.0,0
